gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
932769828																																																											naturgucker	naturgucker			HumanObservation					1836733995		881932368																																	2002-08-10T00:00:00																						CA					Stewart Cassiar Highway zw. Meziadin Junction u. Kitwanga, B.C., Canada													55.6764221191	-128.726806641		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920983616																																																											naturgucker	naturgucker			HumanObservation					-312438281		881932368																																	2002-08-03T00:00:00																						CA					Bergwald zw. Princeton und Summerland, Southern B.C., Canada													49.3501777649	-119.767456055		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920945961																																																											naturgucker	naturgucker			HumanObservation					1660816283		881932368																																	2002-08-14T00:00:00																						CA					Cariboo Highway zw. Prince George u. Clinton, B.C., Canada													52.0558700562	-121.915283203		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920945422																																																											naturgucker	naturgucker			HumanObservation					-1525495722		881932368																																	2002-08-06T00:00:00																						CA					Bighorn Highway zw. Hinton und Grande Prairie, Alberta, Canada													54.5418014526	-118.715515137		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920899315																																																											naturgucker	naturgucker			HumanObservation					-297976169		881932368																																	2002-08-07T00:00:00																						CA					Alaska Highway, B.C., Canada													56.0965576172	-120.640869141		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920896356																																																											naturgucker	naturgucker			HumanObservation					208007505		881932368																																	2002-08-16T00:00:00																						CA					Lillooet Range zw. Clinton u. Lillooet, B.C., Canada													50.8597106934	-121.723022461		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920873550																																																											naturgucker	naturgucker			HumanObservation					-1258744600		881932368																																	2002-08-06T00:00:00																						CA					Alaska Highway, B.C., Canada													56.0965576172	-120.640869141		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
920857568																																																											naturgucker	naturgucker			HumanObservation					923811476		881932368																																	2002-08-13T00:00:00																						CA					Yellowhead Highway zwischen Kitwanga u. Smithers, B.C., Canada													55.244682312	-127.600708008		250																																																				Canis latrans								Animalia		Mammalia	Carnivora	Canidae																
897168588		not-for-profit use only							NCSM 15094 - North Carolina Museum of Natural Sciences Mammalogy Collection																	06A8FFDB-1AB5-4156-BE98-FCF007EC05D5									EN	https://creativecommons.org/publicdomain/zero/1.0/			2021-01-27 20:12:51.0			https://collections.naturalsciences.org/specimen/mammalogy/15094					Noth Carolina Museum of Natural Sciences							PhysicalObject		NCSM		NCSM-MammalsDWC	NCSM	NCSM-Mammals	NCSM Mammalogy Collection	NCSM	PreservedSpecimen				06A8FFDB-1AB5-4156-BE98-FCF007EC05D5	15094							F										In Collection						UK 5206	Source: UKY catalog.										MAMM-15094					1950														North America				Canada		British Columbia			Kamloops	Received from J. Krupa, UKY. Lat/Long taken from small city of Kamloops.  Coordinates from DeLorme 10.0 compared to http://www.findlatitudeandlongitude.com/ and Google Earth.	361	361	361									50.675498962402344	120.33399963378906	WGS84															DeLorme 10.0																																						Canis latrans incolatus								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus		Subspecies							
891726962																										366056										http://creativecommons.org/licenses/by-nc/4.0/			2018-08-17T16:05:37Z			https://www.inaturalist.org/observations/366056					James Maughn												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/366056	366056		James Maughn																																	2013-08-14							2013-08-14																CA	British Columbia				Simon Fraser University, Bristish Columbia, Canada												49.280404	-122.925538	EPSG:4326	43																																		606480				James Maughn		2013-08-15T12:51:41Z				42051								Canis latrans								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis							species							
