decimalLatitude,decimalLongitude
55.676422,-128.726807
49.350178,-119.767456
52.05587,-121.915283
56.096558,-120.640869
50.859711,-121.723022
56.096558,-120.640869
55.244682,-127.600708
50.675499,-120.334
49.280404,-122.925538
49.018846,-123.054256
52.9830261,-122.9510908
50.2330479,-119.3509177
57.4463215,-122.6986717
54.8489569,-124.9181347
49.0782252,-119.0034885
53.0,-122.5
59.5663811,-133.7016578
59.5663811,-133.7016578
59.5663811,-133.7016578
59.5663811,-133.7016578
49.28979,-122.788794
49.088776,-119.535858
49.93645,-119.409187
49.952974,-119.401841
49.237238,-122.922517
49.957808,-119.408808
49.634042,-116.957862
49.150308,-121.918255
49.868147,-119.462997
49.253021,-123.164735
49.302767,-123.131205
49.942522,-119.403
50.206755,-116.971171
50.216412,-120.491837
50.206682,-116.971621
50.961547,-118.203383
49.275425,-123.08808
49.143709,-121.896637
49.125508,-121.895151
49.205148,-121.882131
49.144386,-122.733588
49.305225,-122.921158
49.280564,-121.775376
50.935567,-118.186028
50.18489,-116.931684
49.230578,-123.194031
49.057426,-117.041762
49.604273,-117.119275
49.939345,-119.401903
49.315164,-119.667696
49.239208,-123.131061
49.303227,-123.006662
49.222903,-123.120529
49.246355,-116.662108
49.275893,-122.88773
50.219959,-116.979634
49.917254,-119.419419
50.357921,-120.804408
49.25375,-123.094489
49.946787,-119.404695
49.888494,-119.320498
49.084799,-119.526354
49.238991,-122.973688
49.306306,-123.026118
50.459669,-119.304466
49.236422,-122.983525
49.088736,-119.534068
49.260267,-122.983637
49.217391,-122.724967
49.291898,-122.81571
49.053317,-119.516062
50.180818,-116.963832
49.065617,-117.039185
49.853984,-116.907535
50.043129,-117.184879
49.053744,-119.520199
49.053744,-119.520199
49.332233,-117.686097
49.058483,-117.052128
49.053744,-119.520199
49.311848,-123.14533
50.20654,-116.943876
49.264513,-123.257006
50.428304,-116.286733
50.688744,-117.676364
49.151097,-122.710485
50.539964,-116.052292
49.614211,-116.661772
49.613049,-116.656133
49.093169,-116.94841
49.026298,-116.545807
49.003848,-122.067311
49.278165,-119.525425
49.282455,-123.039806
50.156887,-120.507854
49.073761,-122.284683
49.074881,-122.608592
49.074511,-122.280242
49.260372,-123.253288
49.526182,-115.469605
49.201308,-122.964792
49.873428,-119.431951
49.073294,-122.284814
49.236719,-122.896422
49.084875,-122.826138
49.084875,-122.826138
49.924803,-120.755861
49.017487,-122.656963
49.91177,-120.817607
50.50537,-120.809818
50.507279,-120.825659
50.507037,-120.823785
50.505489,-120.809796
50.029482,-120.387038
50.744348,-120.411321
50.507362,-120.825788
50.507968,-120.809309
50.507606,-120.825381
50.505274,-120.809861
50.507321,-120.825816
49.29477,-123.149947
49.200536,-122.971289
49.289209,-123.143904
49.29697,-123.127875
49.711821,-120.933785
49.930986,-119.393341
49.30223,-123.130844
49.913779,-120.826226
49.26758,-123.123037
49.894957,-119.343181
49.076985,-122.93928
49.29425,-123.137532
49.942453,-119.442893
49.931203,-119.392774
50.125415,-120.476093
49.29575,-123.148453
49.289454,-123.144487
49.297828,-123.128464
50.660187,-121.875715
49.527737,-119.566588
49.89635,-119.438583
50.374453,-120.801343
49.304353,-123.141144
49.292532,-123.143851
49.236465,-123.212983
49.289727,-123.144608
49.940622,-119.411815
49.328625,-123.160198
54.505176,-122.693087
49.069146,-122.28201
50.375714,-120.809859
50.557904,-116.068859
49.244953,-123.142297
49.237174,-122.92158
49.99373,-119.425055
49.268191,-122.910508
49.063345,-122.84673
49.12682,-123.162497
49.932545,-119.509872
49.264131,-122.827003
49.286818,-123.038952
49.612243,-116.987477
49.386043,-123.14693
49.538712,-120.01822
51.589149,-120.632643
49.944216,-119.410367
49.942822,-119.40807
59.90516,-133.794428
49.714292,-114.836875
49.253236,-123.082523
59.91018,-133.809963
49.301263,-123.127323
49.613018,-116.987872
49.219587,-123.209188
49.95515,-119.407386
49.321524,-122.980364
49.3047,-123.001961
49.480128,-123.757806
49.220978,-123.208353
49.234674,-122.800664
49.163304,-122.845111
49.86359,-119.462412
49.949123,-119.403818
49.947239,-119.402769
49.610413,-119.813155
49.220403,-123.208367
49.385912,-123.093481
49.317653,-119.663815
50.530536,-120.453649
51.429352,-122.277222
49.287503,-123.142846
50.562116,-120.066668
50.618774,-120.2498
49.015112,-122.654323
54.837801,-128.78415
50.507218,-117.268589
49.21695,-123.171692
49.29283,-123.140275
50.206835,-116.944782
50.515919,-120.317794
49.855664,-116.908264
49.27898,-123.246537
49.269525,-123.252997
49.267591,-122.859734
50.795738,-120.292119
49.083591,-122.829748
50.205438,-116.944692
49.267734,-123.252134
54.782355,-127.168554
50.031827,-119.440794
49.282455,-123.039806
49.128108,-122.841031
49.946527,-119.40338
49.280787,-122.933771
50.121338,-122.940008
49.22765,-122.840837
49.252968,-119.531302
49.292997,-123.1499
55.448453,-122.722437
49.264759,-122.735604
49.036484,-119.24515
49.101109,-121.89534
50.122,-122.94085
49.797045,-119.478855
49.085859,-122.943203
49.30289,-123.129833
49.258869,-123.228088
49.841796,-119.260508
49.376675,-120.149017
49.268847,-122.980713
49.213408,-121.90209
49.486663,-119.622044
51.444016,-120.759772
49.014502,-117.601873
49.196779,-123.148907
49.238733,-122.897381
49.238733,-122.897381
54.393438,-122.634966
49.167376,-121.94136
49.193905,-123.147561
49.238733,-122.897381
49.277395,-116.651672
49.173834,-123.196492
53.956945,-124.524049
49.221672,-123.167625
49.94873,-119.406026
49.294524,-123.144845
49.047258,-123.048206
49.086143,-119.596565
49.959951,-119.409187
49.942968,-119.405411
55.738824,-120.257082
49.312962,-123.0571
49.238733,-122.897381
51.414008,-121.195981
49.238733,-122.897381
49.268844,-123.225014
49.062592,-120.789033
49.298151,-123.13673
49.274463,-122.885411
49.238733,-122.897381
50.72721,-120.506512
49.238733,-122.897381
49.238733,-122.897381
49.153988,-123.198315
49.488999,-119.622551
49.304072,-123.137515
49.24023,-123.114691
49.238733,-122.897381
49.216843,-123.204917
49.099835,-120.763339
49.892581,-119.335248
49.19312,-123.150784
49.369744,-121.506742
49.486298,-119.615033
54.979669,-129.000473
50.116981,-122.948517
49.941426,-119.409726
49.115474,-121.956424
49.376875,-123.173763
49.938493,-119.409618
49.487062,-119.617292
49.604384,-117.125791
49.218749,-123.207921
49.583095,-117.232012
49.10226,-122.711581
49.489649,-119.62084
55.285734,-123.116858
49.934217,-119.411843
49.036996,-123.054205
49.058117,-116.444258
49.211514,-122.800772
56.343716,-120.955623
49.58627,-117.23689
51.815119,-122.448831
49.304864,-122.863517
49.489012,-119.619802
49.600563,-117.12609
49.154935,-121.888853
49.150292,-122.489998
49.154935,-121.888853
49.019083,-123.050499
49.28405,-122.832813
49.231533,-122.811569
49.091923,-122.682934
49.078472,-122.465498
49.939787,-119.41192
49.371631,-119.559678
49.068541,-122.813237
49.203096,-123.15238
49.945243,-119.403681
49.199146,-123.149147
49.93645,-119.409187
49.93838,-119.405508
49.940339,-119.413426
49.93645,-119.409187
49.021457,-117.600208
49.541122,-119.627348
50.224869,-119.127364
49.846303,-119.370111
49.93645,-119.409187
49.93645,-119.409187
49.942752,-119.402988
49.324149,-122.62992
49.369177,-121.481679
49.257175,-123.231712
49.942108,-119.41018
49.93645,-119.409187
49.941738,-119.412328
49.930763,-119.39132
49.93645,-119.409187
49.93901,-119.400912
49.047116,-123.047
49.942118,-119.397125
49.941728,-119.408687
49.234991,-122.810712
49.06781,-122.990602
49.346369,-119.538322
49.940825,-119.41708
49.940215,-119.412542
49.942717,-119.409404
49.235775,-122.801618
49.061926,-123.00748
49.910273,-119.43629
49.232404,-122.799963
49.232318,-122.800179
49.232245,-122.800086
49.136005,-122.789639
49.944369,-119.407062
49.168764,-123.192864
49.30652,-119.6231
49.94298,-119.409192
